DateTime,Device,Temperature_F
2025-09-29 15:12:22,Basement ESP8266,81.4,in_range
2025-09-29 15:13:03,Basement ESP8266,81.5,in_range
2025-09-29 15:22:24,Basement ESP8266,81.5,in_range
2025-09-29 15:23:04,Basement ESP8266,81.5,in_range
2025-09-29 15:32:25,Basement ESP8266,81.5,in_range
2025-09-29 15:33:05,Basement ESP8266,81.5,in_range
2025-09-29 15:42:26,Basement ESP8266,81.5,in_range
2025-09-29 15:43:05,Basement ESP8266,81.5,in_range
2025-09-29 15:52:27,Basement ESP8266,81.5,in_range
2025-09-29 15:53:07,Basement ESP8266,81.5,in_range
2025-09-29 16:02:28,Basement ESP8266,81.5,in_range
2025-09-29 16:03:08,Basement ESP8266,81.5,in_range
2025-09-29 16:12:29,Basement ESP8266,81.5,in_range
2025-09-29 16:13:09,Basement ESP8266,81.5,in_range
2025-09-29 16:22:30,Basement ESP8266,81.5,in_range
2025-09-29 16:23:10,Basement ESP8266,81.5,in_range
2025-09-29 16:32:32,Basement ESP8266,81.5,in_range
2025-09-29 16:33:11,Basement ESP8266,81.5,in_range
2025-09-29 16:42:33,Basement ESP8266,81.6,in_range
2025-09-29 16:43:12,Basement ESP8266,81.5,in_range
2025-09-29 16:52:34,Basement ESP8266,81.6,in_range
2025-09-29 16:53:14,Basement ESP8266,81.5,in_range
2025-09-29 17:02:35,Basement ESP8266,81.7,in_range
2025-09-29 17:03:15,Basement ESP8266,81.6,in_range
2025-09-29 17:12:36,Basement ESP8266,81.6,in_range
2025-09-29 17:13:17,Basement ESP8266,81.7,in_range
2025-09-29 17:22:37,Basement ESP8266,81.5,in_range
2025-09-29 17:23:18,Basement ESP8266,81.5,in_range
2025-09-29 17:32:38,Basement ESP8266,81.5,in_range
2025-09-29 17:33:19,Basement ESP8266,81.5,in_range
2025-09-29 17:42:40,Basement ESP8266,81.5,in_range
2025-09-29 17:43:20,Basement ESP8266,81.5,in_range
2025-09-29 17:52:41,Basement ESP8266,81.5,in_range
2025-09-29 17:53:21,Basement ESP8266,81.5,in_range
2025-09-29 18:02:42,Basement ESP8266,81.5,in_range
2025-09-29 18:03:23,Basement ESP8266,81.5,in_range
2025-09-29 18:12:43,Basement ESP8266,81.5,in_range
2025-09-29 18:13:24,Basement ESP8266,81.5,in_range
2025-09-29 18:22:44,Basement ESP8266,81.5,in_range
2025-09-29 18:23:25,Basement ESP8266,81.5,in_range
2025-09-29 18:32:45,Basement ESP8266,81.5,in_range
2025-09-29 18:33:27,Basement ESP8266,81.5,in_range
2025-09-29 18:42:47,Basement ESP8266,81.5,in_range
2025-09-29 18:43:28,Basement ESP8266,81.5,in_range
2025-09-29 18:52:48,Basement ESP8266,81.5,in_range
2025-09-29 18:53:30,Basement ESP8266,81.4,in_range
2025-09-29 19:02:50,Basement ESP8266,81.4,in_range
2025-09-29 19:03:31,Basement ESP8266,81.5,in_range
2025-09-29 19:12:51,Basement ESP8266,81.4,in_range
2025-09-29 19:13:32,Basement ESP8266,81.4,in_range
2025-09-30 21:04:05,Basement ESP8266,77.9,in_range
2025-09-30 21:24:20,Basement ESP8266,78.6,in_range
2025-09-30 21:25:04,Basement ESP8266,78.7,in_range
